Ranking;Título;Plataforma;Nota;Descripción;Desarrollador;Productora;Genero;Fecha_lanzamiento;Año_lanzamiento;URL
849;Moss: Book II;PS4;8,55;Moss: Book II Género/s: Aventura de acción / Aventura de exploración y puzles / Realidad Virtual Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.8 83 Según 38 críticas Fecha de lanzamiento: 31/3/2022 Desarrollo: Polyarc Producción: Polyarc Distribución: PlayStation Store Precio: 39,99  Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: - Requisitos PC COMUNIDAD 10 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Moss: Book II para PlayStation 4 1 votos Insuficientes votos para figurar en los rankings.;Polyarc;Polyarc;Aventura de acción / Aventura de exploración y puzles / Realidad Virtual;31/3/2022;2022;https://vandal.elespanol.com/juegos/ps4/moss-book-ii/103604#p-73
850;La Tierra Media: Sombras de Mordor;XBOne;8,55;La Tierra Media: Sombras de Mordor Género/s: Hack and Slash / Mundo abierto / Sigilo Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.8 84 Según 85 críticas Fecha de lanzamiento: 3/10/2014 Desarrollo: Monolith Productions Producción: Warner Bros. Games Distribución: Warner Bros. Games Precio: 69,95  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: No Requisitos PC Trucos PS4 Trofeos Estadísticas PSN COMUNIDAD 8.13 Seguir - 10 9 8 7 6 5 4 3 2 1 0 La Tierra Media: Sombras de Mordor para PlayStation 4 177 votos #69 en el ranking de PlayStation 4 . #111 en el ranking global .;Monolith Productions;Warner Bros. Games;Hack and Slash / Mundo abierto / Sigilo;3/10/2014;2014;https://vandal.elespanol.com/juegos/ps4/la-tierra-media-sombras-de-mordor/22790#p-79
851;Tales from the Borderlands - Episodio 1: Zer0 Sum;XBOne;8,55;Tales from the Borderlands - Episodio 1: Zer0 Sum Género/s: Aventura Gráfica / Aventura narrativa Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 8.9 84 Según 43 críticas Fecha de lanzamiento : 16/2/2021 Desarrollo: Telltale Games Producción: 2K Games Distribución: Steam Precio: 19.99  Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: - Requisitos PC Logros Estadísticas Steam COMUNIDAD 9.07 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Tales from the Borderlands - Episodio 1: Zer0 Sum para Ordenador 4 votos Insuficientes votos para figurar en los rankings.;Telltale Games;2K Games;Aventura Gráfica / Aventura narrativa;16/2/2021;2021;https://vandal.elespanol.com/juegos/pc/tales-from-the-borderlands-episodio-1-zer0-sum/22968#p-79
852;Guitar Hero Live;XBOne;8,55;Guitar Hero Live Género/s: Musical / Tocar instrumentos Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9 80 Según 69 críticas Fecha de lanzamiento: 23/10/2015 Desarrollo: FreeStyleGames Producción: Activision Distribución: Activision Precio: 109,95  Jugadores: 1-2 Formato: Blu-ray Textos: Español Voces: Español Online: Sí Trofeos Estadísticas PSN COMUNIDAD 7.29 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Guitar Hero Live para PlayStation 4 11 votos #103 en el ranking de PlayStation 4 . #146 en el ranking global .;FreeStyleGames;Activision;Musical / Tocar instrumentos;23/10/2015;2015;https://vandal.elespanol.com/juegos/ps4/guitar-hero-live/30448#p-79
853;Life is Strange: Limited Edition;XBOne;8,55;Life is Strange: Limited Edition Género/s: Aventura narrativa Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.5 Fecha de lanzamiento: 22/1/2016 Desarrollo: Dontnod Entertainment Producción: Square Enix Distribución: Koch Media Precio: 29,95  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Marcadores Requisitos PC Trucos PS4 COMUNIDAD 8.68 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Life is Strange: Limited Edition para PlayStation 4 110 votos #55 en el ranking de PlayStation 4 . #96 en el ranking global .;Dontnod Entertainment;Square Enix;Aventura narrativa;22/1/2016;2016;https://vandal.elespanol.com/juegos/ps4/life-is-strange-limited-edition/34520#p-79
854;DiRT 4;XBOne;8,55;DiRT 4 Género/s: Rally / Velocidad Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.5 85 Según 44 críticas Fecha de lanzamiento: 9/6/2017 Desarrollo: Codemasters Producción: Codemasters Distribución: Koch Media Precio: 64,95  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: Sí Requisitos PC Trofeos Estadísticas PSN COMUNIDAD 8.71 Seguir - 10 9 8 7 6 5 4 3 2 1 0 DiRT 4 para PlayStation 4 14 votos #57 en el ranking de PlayStation 4 . #98 en el ranking global .;Codemasters;Codemasters;Rally / Velocidad;9/6/2017;2017;https://vandal.elespanol.com/juegos/ps4/dirt-4/45626#p-79
855;Shadow of the Tomb Raider;XBOne;8,55;Shadow of the Tomb Raider Género/s: Aventura de acción / Plataformas 3D / Shooter en tercera persona Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 9 75 Según 63 críticas Fecha de lanzamiento: 14/9/2018 Desarrollo: Eidos Montreal Producción: Square Enix Distribución: Koch Media Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: - Requisitos PC COMUNIDAD 8.12 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Shadow of the Tomb Raider para PlayStation 4 59 votos #92 en el ranking de PlayStation 4 . #135 en el ranking global .;Eidos Montreal;Square Enix;Aventura de acción / Plataformas 3D / Shooter en tercera persona;14/9/2018;2018;https://vandal.elespanol.com/juegos/ps4/shadow-of-the-tomb-raider/55323#p-79
856;Sid Meier's Civilization VI;XBOne;8,55;Sid Meier's Civilization VI Género/s: Estrategia por turnos / Estrategia Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9 88 Según 84 críticas Fecha de lanzamiento: 21/10/2016 Desarrollo: Firaxis Games Producción: 2K Games Distribución: Take-Two Precio: 49,95  Jugadores: 1 Formato: DVD Textos: Español Voces: Español Online: Sí Requisitos PC Trucos PC Logros Estadísticas Steam COMUNIDAD 8.51 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Sid Meier's Civilization VI para Ordenador 30 votos #61 en el ranking de Ordenador . #78 en el ranking global .;Firaxis Games;2K Games;Estrategia por turnos / Estrategia;21/10/2016;2016;https://vandal.elespanol.com/juegos/pc/sid-meiers-civilization-vi/39032#p-79
857;Enter the Gungeon;Switch;8,55;Enter the Gungeon Género/s: Dungeon Crawler / Roguelike / Shooter en tercera persona Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 8.3 82 Según 32 críticas Fecha de lanzamiento: 5/4/2016 Desarrollo: Dodge Roll Producción: Devolver Digital Distribución: PlayStation Network Precio: 14,99  Jugadores: 1-2 Formato: Descarga Textos: Español Voces: No Online: No Requisitos PC Trofeos Estadísticas PSN COMUNIDAD 7.51 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Enter the Gungeon para PlayStation 4 10 votos #112 en el ranking de PlayStation 4 . #155 en el ranking global .;Dodge Roll;Devolver Digital;Dungeon Crawler / Roguelike / Shooter en tercera persona;5/4/2016;2016;https://vandal.elespanol.com/juegos/ps4/enter-the-gungeon/27380#p-83
858;Disco Elysium - The Final Cut;Switch;8,55;Disco Elysium Género/s: Detectives / RPG Occidental Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.2 91 Según 64 críticas Fecha de lanzamiento: 15/10/2019 Desarrollo: ZA / UM Producción: ZA / UM Distribución: Steam Precio: 39,99  Jugadores: 1 Formato: Descarga Textos: Inglés Voces: Inglés Online: - Requisitos PC COMUNIDAD 8.32 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Disco Elysium para Ordenador 25 votos #51 en el ranking de Ordenador . #68 en el ranking global .;ZA / UM;ZA / UM;Detectives / RPG Occidental;15/10/2019;2019;https://vandal.elespanol.com/juegos/pc/disco-elysium/77712#p-83
